,FULL_NAME,NormalAttributes,NormalValues
121,Jonah Bolden,Season Games Played,25.5
122,Josh Giddey,Season Games Played,70.0
123,Josh Green,Season Games Played,55.75
124,Kyrie Irving,Season Games Played,56.07692307692308
125,Mangok Mathiang,Season Games Played,4.0
126,Matthew Dellavedova,Season Games Played,53.22222222222222
127,Mitchell Creek,Season Games Played,5.0
128,Nathan Jawai,Season Games Played,22.5
129,Patty Mills,Season Games Played,59.46666666666667
130,Ryan Broekhoff,Season Games Played,29.5
131,Xavier Cooks,Season Games Played,10.0
132,Andrew Bogut,Season Games Started,47.214285714285715
133,Aron Baynes,Season Games Started,18.666666666666668
134,Ben Simmons,Season Games Started,53.333333333333336
135,Cameron Bairstow,Season Games Started,1.5
136,Dante Exum,Season Games Started,12.714285714285714
137,David Andersen,Season Games Started,0.0
138,Dyson Daniels,Season Games Started,13.5
139,Isaac Humphries,Season Games Started,1.0
140,Jack White,Season Games Started,0.0
141,Jock Landale,Season Games Started,2.6666666666666665
142,Joe Ingles,Season Games Started,31.3
143,Jonah Bolden,Season Games Started,5.0
144,Josh Giddey,Season Games Started,70.0
145,Josh Green,Season Games Started,15.5
146,Kyrie Irving,Season Games Started,56.07692307692308
147,Mangok Mathiang,Season Games Started,0.0
148,Matthew Dellavedova,Season Games Started,10.333333333333334
149,Mitchell Creek,Season Games Started,0.0
150,Nathan Jawai,Season Games Started,1.0
151,Patty Mills,Season Games Started,7.466666666666667
152,Ryan Broekhoff,Season Games Started,0.5
153,Xavier Cooks,Season Games Started,1.0
